tweet_id,favorites,retweets
892420643555336193,33697,6968
892177421306343426,29217,5272
891815181378084864,21972,3464
891689557279858688,36778,7191
891327558926688256,35178,7715
891087950875897856,17746,2585
890971913173991426,10328,1646
890729181411237888,56648,15677
890609185150312448,24418,3604
890240255349198849,27843,6067
890006608113172480,26941,6112
889880896479866881,24482,4141
889665388333682689,41870,8302
889638837579907072,23574,3700
889531135344209921,13312,1873
889278841981685760,22024,4419
888917238123831296,25527,3742
888804989199671297,22383,3512
888554962724278272,17246,2862
888078434458587136,19091,2885
887705289381826560,26521,4515
887517139158093824,40576,9810
887473957103951883,59970,14953
887343217045368832,29482,8774
887101392804085760,26893,4968
886983233522544640,30241,6287
886736880519319552,10454,2615
886680336477933568,19651,3719
886366144734445568,18484,2613
886267009285017600,105,4
886258384151887873,24439,5253
886054160059072513,0,93
885984800019947520,28488,5589
885528943205470208,31477,5306
885518971528720385,17941,3097
885311592912609280,0,15364
885167619883638784,19181,3652
884925521741709313,67004,14941
884876753390489601,24296,4639
884562892145688576,21234,3895
884441805382717440,23776,4776
884247878851493888,62998,16821
884162670584377345,17884,2493
883838122936631299,19087,2849
883482846933004288,40038,8222
883360690899218434,19872,3061
883117836046086144,32383,5511
882992080364220416,20912,3229
882762694511734784,24689,4075
882627270321602560,24523,5042
882268110199369728,39029,9581
882045870035918850,25624,4066
881906580714921986,21373,2839
881666595344535552,44377,8912
881633300179243008,113,8
881536004380872706,43276,13347
881268444196462592,20425,4481
880935762899988482,14994,2325
880872448815771648,18653,3191
880465832366813184,24925,5192
880221127280381952,23574,3448
880095782870896641,24233,3634
879862464715927552,19635,2913
879674319642796034,282,9
879492040517615616,20637,2619
879415818425184262,92484,37257
879376492567855104,14806,2634
879130579576475649,0,5710
879050749262655488,19739,3935
879008229531029506,16719,2230
878776093423087618,17080,3418
878604707211726852,26349,5897
878404777348136964,0,1070
878316110768087041,0,5501
878281511006478336,6753,1070
878057613040115712,37017,5710
877736472329191424,69028,15732
877611172832227328,0,70
877556246731214848,19833,3151
877316821321428993,24066,4321
877201837425926144,23791,4602
876838120628539392,18164,2795
876537666061221889,20990,3961
876484053909872640,16509,1989
876120275196170240,24607,3890
875747767867523072,22031,3566
875144289856114688,19361,4131
875097192612077568,24168,5092
875021211251597312,22486,3953
874680097055178752,24516,3906
874434818259525634,0,12159
874296783580663808,22876,3470
874057562936811520,20049,3368
874012996292530176,30020,8551
873580283840344065,21303,3333
873337748698140672,0,1327
873213775632977920,6300,1327
872967104147763200,23968,4545
872820683541237760,13026,3156
872620804844003328,18266,3058
872486979161796608,35987,7682
872122724285648897,30099,6802
871879754684805121,32966,9210
871762521631449091,17813,2957
871515927908634625,17843,2924
871166179821445120,0,4877
871102520638267392,18488,4651
871032628920680449,20090,3213
870804317367881728,29696,5265
870726314365509632,105,3
870656317836468226,10855,2190
870374049280663552,73704,22654
870308999962521604,19414,3534
870063196459192321,32308,7050
869772420881756160,37890,8659
869702957897576449,24964,5362
869596645499047938,14141,2629
869227993411051520,18080,3187
868880397819494401,57743,12199
868639477480148993,0,1742
868622495443632128,23564,4443
868552278524837888,8929,1742
867900495410671616,21521,3554
867774946302451713,30160,6229
867421006826221569,14293,2109
867072653475098625,0,100
867051520902168576,28602,6755
866720684873056260,17795,4117
866686824827068416,17062,2953
866450705531457537,108487,30054
866334964761202691,46423,12159
866094527597207552,0,7132
865718153858494464,22854,4813
865359393868664832,23510,4270
865006731092295680,24951,6633
864873206498414592,28748,7473
864279568663928832,13032,2571
864197398364647424,26545,7554
863907417377173506,18373,3577
863553081350529029,13626,3612
863471782782697472,0,2084
863432100342583297,21220,4542
863427515083354112,1956,80
863079547188785154,7877,949
863062471531167744,7499,2084
862831371563274240,17175,4442
862722525377298433,15287,3075
862457590147678208,18213,4231
862096992088072192,66046,19901
861383897657036800,32180,9228
861288531465048066,15302,3574
861005113778896900,14938,3319
860981674716409858,0,1850
860924035999428608,0,675
860563773140209665,6698,1850
860524505164394496,21191,4582
860276583193509888,16526,3056
